plate,camera_id,camera_name,location,city,t_sec,label,confidence,created_at,snapshot_url
GJ01AB1234,cam-ahm-paldi,Cam-AHM-Paldi ANPR,Paldi Circle style junction,Ahmedabad,5,car,0.851,2026-08-20T20:17:53.255530+00:00,/media/snapshots/cam-ahm-paldi/annotated/frame_0006.jpg
GJ01AB1234,cam-ahm-paldi,Cam-AHM-Paldi ANPR,Paldi Circle style junction,Ahmedabad,6,car,0.865,2026-08-20T20:17:56.044106+00:00,/media/snapshots/cam-ahm-paldi/annotated/frame_0007.jpg
GJ01AB1234,cam-ahm-paldi,Cam-AHM-Paldi ANPR,Paldi Circle style junction,Ahmedabad,7,car,0.9,2026-08-20T20:17:57.690068+00:00,/media/snapshots/cam-ahm-paldi/annotated/frame_0008.jpg
GJ01AB1234,cam-ahm-gate,Cam-AHM-Gate ANPR,City gate / boom (close plate),Ahmedabad,0,car,0.868,2026-08-26T10:26:17.935543+00:00,/media/snapshots/cam-ahm-gate/annotated/frame_0001.jpg
GJ01AB1234,cam-ahm-gate,Cam-AHM-Gate ANPR,City gate / boom (close plate),Ahmedabad,1,car,0.831,2026-08-26T10:26:19.624250+00:00,/media/snapshots/cam-ahm-gate/annotated/frame_0002.jpg
GJ01AB1234,cam-ahm-gate,Cam-AHM-Gate ANPR,City gate / boom (close plate),Ahmedabad,2,car,0.782,2026-08-26T10:26:21.629211+00:00,/media/snapshots/cam-ahm-gate/annotated/frame_0003.jpg
GJ01AB1234,cam-ahm-gate,Cam-AHM-Gate ANPR,City gate / boom (close plate),Ahmedabad,3,car,0.814,2026-08-26T10:26:22.935974+00:00,/media/snapshots/cam-ahm-gate/annotated/frame_0004.jpg
GJ01AB1234,cam-ahm-gate,Cam-AHM-Gate ANPR,City gate / boom (close plate),Ahmedabad,4,car,0.733,2026-08-26T10:26:24.186405+00:00,/media/snapshots/cam-ahm-gate/annotated/frame_0005.jpg
GJ01AB1234,cam-ahm-gate,Cam-AHM-Gate ANPR,City gate / boom (close plate),Ahmedabad,5,car,0.687,2026-08-26T10:26:26.164870+00:00,/media/snapshots/cam-ahm-gate/annotated/frame_0006.jpg
GJ01AB1234,cam-ahm-gate,Cam-AHM-Gate ANPR,City gate / boom (close plate),Ahmedabad,6,car,0.601,2026-08-26T10:26:27.606003+00:00,/media/snapshots/cam-ahm-gate/annotated/frame_0007.jpg
GJ01AB1234,cam-ahm-gate,Cam-AHM-Gate ANPR,City gate / boom (close plate),Ahmedabad,6,truck,0.492,2026-08-26T10:26:28.503414+00:00,/media/snapshots/cam-ahm-gate/annotated/frame_0007.jpg
GJ01AB1234,cam-ahm-gate,Cam-AHM-Gate ANPR,City gate / boom (close plate),Ahmedabad,7,car,0.64,2026-08-26T10:26:29.700655+00:00,/media/snapshots/cam-ahm-gate/annotated/frame_0008.jpg
GJ01AB1234,cam-ahm-gate,Cam-AHM-Gate ANPR,City gate / boom (close plate),Ahmedabad,7,bus,0.4,2026-08-26T10:26:30.037094+00:00,/media/snapshots/cam-ahm-gate/annotated/frame_0008.jpg
